,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Teh Chai Aan (BN - MCA),"27.3% (2,762)",N1,TITI TINGGI (P1),state,Perlis
1,Teh Seng Chuan (PH - DAP),"25.9% (2,620)",N1,TITI TINGGI (P1),state,Perlis
2,Kamis Yub (PAS),"22.7% (2,291)",N1,TITI TINGGI (P1),state,Perlis
3,Yaacob Man (IND),1.3% (132),N1,TITI TINGGI (P1),state,Perlis
4,Ruzaini Rais (BN - UMNO),"32.3% (2,879)",N2,BESERI (P1),state,Perlis
5,Wan Kharizal Wan Khazim (PH - AMANAH),"27.6% (2,463)",N2,BESERI (P1),state,Perlis
6,Azamhari Mohamood (PAS),"17.1% (1,523)",N2,BESERI (P1),state,Perlis
7,Asmaiza Ahmad (BN - UMNO),"36.9% (3,889)",N3,CHUPING (P1),state,Perlis
8,Poziyah Hamzah (PH - PKR),"23.9% (2,522)",N3,CHUPING (P1),state,Perlis
9,Mohd Ali Puteh (PAS),"18.7% (1,967)",N3,CHUPING (P1),state,Perlis
10,Siti Berenee Yahaya (BN - UMNO),"35.2% (2,684)",N4,MATA AYER (P1),state,Perlis
11,Azhar Omar (PH - PPBM),"25.8% (1,964)",N4,MATA AYER (P1),state,Perlis
12,Mohammad Yahya (PAS),"19.9% (1,516)",N4,MATA AYER (P1),state,Perlis
13,Azizan Sulaiman (BN - UMNO),"34.5% (3,071)",N5,SANTAN (P1),state,Perlis
14,Che Mazlina Che Yob (PH - AMANAH),"23.8% (2,122)",N5,SANTAN (P1),state,Perlis
15,Baharuddin Ahmad (PAS),"23.4% (2,088)",N5,SANTAN (P1),state,Perlis
16,Azlan Man (BN - UMNO),"32.8% (3,986)",N6,BINTONG (P2),state,Perlis
17,Mokhtar Che Kassim (PH - AMANAH),"25.9% (3,139)",N6,BINTONG (P2),state,Perlis
18,Abd Jamil Kamis (PAS),"22.2% (2,695)",N6,BINTONG (P2),state,Perlis
19,Asrul Nizan Abd Jalil (PH - PKR),"34.0% (4,177)",N7,SENA (P2),state,Perlis
20,Azihani Ali (BN - UMNO),"31.4% (3,863)",N7,SENA (P2),state,Perlis
21,Fakhrul Anwar Ismail (PAS),"15.3% (1,888)",N7,SENA (P2),state,Perlis
22,Gan Ay Ling (PH - PKR),"45.6% (5,023)",N8,INDERA KAYANGAN (P2),state,Perlis
23,Chuah Tian Hee (BN - MCA),"16.8% (1,846)",N8,INDERA KAYANGAN (P2),state,Perlis
24,Wan Hassan Ismail (PAS),"16.7% (1,835)",N8,INDERA KAYANGAN (P2),state,Perlis
25,Nor Azam Karap (PH - PKR),"39.9% (4,253)",N9,KUALA PERLIS (P2),state,Perlis
26,Azam Rashid (BN - UMNO),"28.1% (2,999)",N9,KUALA PERLIS (P2),state,Perlis
27,Mohamad Fuat Abu Bakar (PAS),"10.0% (1,066)",N9,KUALA PERLIS (P2),state,Perlis
28,Hamizan Hassan (BN - UMNO),"33.3% (3,275)",N10,KAYANG (P2),state,Perlis
29,Abdul Hannaan Khairy (PH - PPBM),"28.9% (2,840)",N10,KAYANG (P2),state,Perlis
30,Md Radzi Hassan (PAS),"18.9% (1,855)",N10,KAYANG (P2),state,Perlis
31,Rozieana Ahmad (BN - UMNO),"31.8% (3,564)",N11,PAUH (P3),state,Perlis
32,Amier Hassan (PH - PPBM),"30.5% (3,421)",N11,PAUH (P3),state,Perlis
33,Idris Yaacob (PAS),"18.6% (2,085)",N11,PAUH (P3),state,Perlis
34,Ismail Kasim (BN - UMNO),"38.0% (4,005)",N12,TAMBUN TULANG (P3),state,Perlis
35,Maton Din (PH - PPBM),"26.8% (2,825)",N12,TAMBUN TULANG (P3),state,Perlis
36,Abu Bakar Ali (PAS),"18.1% (1,910)",N12,TAMBUN TULANG (P3),state,Perlis
37,Mohd Ridzuan Hashim (PAS),"34.6% (3,199)",N13,GUAR SANJI (P3),state,Perlis
38,Afifi Osman (BN - UMNO),"31.1% (2,871)",N13,GUAR SANJI (P3),state,Perlis
39,Baridah Che Nayan (PH - PPBM),"16.4% (1,512)",N13,GUAR SANJI (P3),state,Perlis
40,Nurulhisham Yaakob (BN - UMNO),"29.6% (2,528)",N14,SIMPANG EMPAT (P3),state,Perlis
41,Rus'sele Eizan (PAS),"28.6% (2,446)",N14,SIMPANG EMPAT (P3),state,Perlis
42,Wan Noralhakim Shaghir Saad (PH - PKR),"22.9% (1,960)",N14,SIMPANG EMPAT (P3),state,Perlis
43,Mohd Shukri Ramli (PAS),"34.3% (2,971)",N15,SANGLANG (P3),state,Perlis
44,Che Zaidi Saidin (BN - UMNO),"33.8% (2,929)",N15,SANGLANG (P3),state,Perlis
45,Zolkharnain Abidin (PH - AMANAH),"15.9% (1,379)",N15,SANGLANG (P3),state,Perlis
